fips,3rd Party Effect
01001,0.16
01003,0.1594
01005,0.0538
01007,0.1102
01009,0.1978
01011,0.0002
01013,0.0532
01015,0.1213
01017,0.0656
01019,0.121
01021,0.1756
01023,0.0314
01025,0.065
01027,0.143
01029,0.1986
01031,0.2027
01033,0.0458
01035,0.0001
01037,0.061
01039,0.1919
01041,0.0877
01043,0.1669
01045,0.1565
01047,0.0167
01049,0.1605
01051,0.1504
01053,0.1062
01055,0.1249
01057,0.1499
01059,0.0375
01061,0.1804
01063,0.0008
01065,0.0006
01067,0.1233
01069,0.2058
01071,0.1382
01073,0.0675
01075,0.1263
01077,0.1241
01079,0.0828
01081,0.1362
01083,0.1659
01085,0
01087,0.0004
01089,0.1183
01091,0.012
01093,0.1368
01095,0.1597
01097,0.0813
01099,0.0582
01101,0.0369
01103,0.1634
01105,0.0042
01107,0.0299
01109,0.0928
01111,0.0858
01113,0.0098
01115,0.2002
01117,0.2321
01119,0.007
01121,0.0738
01123,0.1006
01125,0.1114
01127,0.1099
01129,0.0127
01131,0.0017
01133,0.1399
04001,0.0102
04003,0.0051
04005,0.0294
04007,0.0021
04009,0.0352
04011,0.0022
04012,0.0006
04013,0.0017
04015,0.0118
04017,0.008
04019,0.0019
04021,0.0001
04023,0.0127
04025,0.0209
04027,0.0043
05001,0.1746
05003,0.0015
05005,0.1317
05007,0.2311
05009,0.1772
05011,0.111
05013,0.0049
05015,#DIV/0!
05017,0.0026
05019,0.0883
05021,0.0055
05023,0.2456
05025,0.1716
05027,0.1322
05029,0.0124
05031,0.1488
05033,0.2278
05035,0.0152
05037,0.1185
05039,0.0042
05041,0.0133
05043,0.0483
05045,0.1721
05047,0.1624
05049,0.0087
05051,0.1429
05053,0.2005
05055,0.1611
05057,0.1701
05059,0.0823
05061,0.158
05063,0.1878
05065,0.1109
05067,0.0709
05069,0
05071,0.0776
05073,0.0421
05075,0.0002
05077,0.0152
05079,0.0807
05081,0.0187
05083,0.1391
05085,0.2387
05087,0.0001
05089,0.1434
05091,0.2203
05093,0.0676
05095,0.0108
05097,0.1365
05099,0.0059
05101,0.2057
05103,0.0466
05105,0.0334
05107,0.0098
05109,0.1556
05111,0.1465
05113,0.2021
05115,0.174
05117,0.0328
05119,0.0653
05121,0.0828
05125,0.2177
05127,0.1329
05129,0.2053
05131,0.1696
05133,0.1398
05135,0.1249
05137,0.093
05139,0.0029
05141,0.116
05143,0.0673
05145,0.2497
05147,0.0089
05149,0.0854
06001,0.134
06003,0.0726
06005,0.0192
06007,0.0714
06009,0.0217
06011,0.0172
06013,0.0549
06015,0.0613
06017,0.0199
06019,0.0156
06021,0.0101
06023,0.2249
06025,0.0335
06027,0.0389
06029,0.0057
06031,0.0068
06033,0.0813
06035,0.009
06037,0.0852
06039,0.0101
06041,0.0901
06043,0.0183
06045,0.2019
06047,0.0339
06049,0.007
06051,0.0628
06053,0.0599
06055,0.0424
06057,0.0925
06059,0.0234
06061,0.0138
06063,0.0319
06065,0.023
06067,0.0484
06069,0.0404
06071,0.0335
06073,0.0421
06075,0.1491
06077,0.0276
06079,0.037
06081,0.0663
06083,0.0658
06085,0.0529
06087,0.1816
06089,0.0137
06091,0.04
06093,0.047
06095,0.0634
06097,0.1073
06099,0.032
06101,0.0133
06103,0.0168
06105,0.0703
06107,0.0082
06109,0.0242
06111,0.0412
06113,0.1027
06115,0.0298
08001,0.3772
08003,0.4222
08005,0.2847
08007,0.426
08009,0.2331
08011,0.2304
08013,0.4055
08014,0.4123
08015,0.433
08017,0.1975
08019,0.309
08021,0.1652
08023,0.0699
08025,0.2664
08027,0.3244
08029,0.4928
08031,0.2995
08033,0.5377
08035,0.2505
08037,0.4151
08039,0.3819
08041,0.3775
08043,0.3379
08045,0.3915
08047,0.4906
08049,0.4429
08051,0.598
08053,0.5917
08055,0.3811
08057,0.1975
08059,0.3623
08061,0.0816
08063,0.3512
08065,0.5729
08067,0.4117
08069,0.4536
08071,0.3248
08073,0.1696
08075,0.2268
08077,0.3371
08079,0.3719
08081,0.3265
08083,0.4562
08085,0.3039
08087,0.307
08089,0.2987
08091,0.4155
08093,0.4381
08095,0.3853
08097,0.299
08099,0.0963
08101,0.2256
08103,0.4793
08105,0.3098
08107,0.4076
08109,0.6778
08111,0.5048
08113,0.6195
08115,0.1452
08117,0.3635
08119,0.403
08121,0.2976
08123,0.3749
08125,0.179
09001,0.0007
09003,0.0688
09005,0.0011
09009,0.1362
09011,0.1502
09013,0.0077
09015,0.1458
10001,0.0016
10003,0.0134
10005,0.0003
12001,0.0036
12003,0.0342
12005,0.0724
12007,0.0237
12009,0.041
12011,0.0002
12013,0.0004
12015,0.0364
12017,0.0312
12019,0.0944
12021,0.1088
12023,0.0412
12027,0.0037
12029,0.0025
12031,0.0221
12033,0.058
12035,0.022
12037,0.001
12039,0.0029
12041,0.026
12043,0.0041
12045,0.0234
12047,0.001
12049,0.0408
12051,0.0202
12053,0.0176
12055,0.0594
12057,0.021
12059,0.0406
12061,0.0655
12063,0.0036
12065,0.0005
12067,0
12069,0.0509
12071,0.0603
12073,0
12075,0.0162
12077,0.0369
12079,0.0002
12081,0.0444
12083,0.0297
12085,0.0614
12086,0.07
12087,0.0028
12089,0.0783
12091,0.126
12093,0.0144
12095,0.0117
12097,0.0063
12099,0.0049
12101,0.0244
12103,0.0104
12105,0.0382
12107,0.0028
12109,0.0774
12111,0.0055
12113,0.1128
12115,0.0326
12117,0.0385
12119,0.0736
12121,0.018
12123,0.0002
12125,0.0054
12127,0.0116
12129,0.0096
12131,0.0847
12133,0.05
13001,0.1935
13003,0.0505
13005,0.1448
13007,0.0216
13009,0.0383
13011,0.1742
13013,0.1774
13015,0.1377
13017,0.0473
13019,0.1068
13021,0.0457
13023,0.1748
13025,0.1618
13027,0.0628
13029,0.1696
13031,0.1134
13033,0.0752
13035,0.1257
13037,0.0241
13039,0.0881
13043,0.1078
13045,0.1332
13047,0.1764
13049,0.1189
13051,0.0428
13053,0.0352
13055,0.0903
13057,0.2074
13059,0.0006
13061,0.0287
13063,0.001
13065,0.114
13067,0.0967
13069,0.082
13071,0.1287
13073,0.1946
13075,0.0751
13077,0.1719
13079,0.0918
13081,0.0918
13083,0.1822
13085,0.203
13087,0.0678
13089,0
13091,0.1176
13093,0.0378
13095,0.0134
13097,0.0433
13099,0.0559
13101,0.0803
13103,0.1986
13105,0.1092
13107,0.1145
13109,0.1625
13111,0.117
13113,0.1503
13115,0.1374
13117,0.2224
13119,0.1852
13121,0.0189
13123,0.1291
13125,0.117
13127,0.1148
13129,0.1326
13131,0.1163
13133,0.1615
13135,0.0917
13137,0.1932
13139,0.2111
13141,0.0003
13143,0.1542
13145,0.1959
13147,0.1533
13149,0.1017
13151,0.0637
13153,0.132
13155,0.0868
13157,0.1957
13159,0.1208
13161,0.1502
13163,0.0404
13165,0.0809
13167,0.0904
13169,0.088
13171,0.1193
13173,0.0681
13175,0.1196
13177,0.119
13179,0.018
13181,0.1295
13183,0.0643
13185,0.0718
13187,0.1691
13189,0.1222
13191,0.0596
13193,0.0232
13195,0.1401
13197,0.0371
13199,0.0767
13201,0.0801
13205,0.0432
13207,0.1722
13209,0.1322
13211,0.1718
13213,0.0875
13215,0.0439
13217,0.0523
13219,0.1995
13221,0.0997
13223,0.1526
13225,0.0756
13227,0.17
13229,0.2578
13231,0.2037
13233,0.0905
13235,0.109
13237,0.126
13239,0.0451
13241,0.1384
13243,0.0189
13245,0.0276
13247,0.0262
13249,0.1888
13251,0.0808
13253,0.0794
13255,0.1188
13257,0.1818
13259,0.0163
13261,0.0492
13263,0.0136
13265,0.0141
13267,0.1606
13269,0.0753
13271,0.0775
13273,0.035
13275,0.1313
13277,0.1276
13279,0.1931
13281,0.1371
13283,0.0674
13285,0.1045
13287,0.0666
13289,0.0317
13291,0.1589
13293,0.0973
13295,0.1659
13297,0.2023
13299,0.1524
13301,0.059
13303,0.0539
13305,0.1556
13307,0.076
13309,0.1053
13311,0.1631
13313,0.1199
13315,0.0928
13317,0.0692
13319,0.0482
13321,0.0959
15001,0.2469
15003,0.0521
15007,0.1923
15009,0.2714
16001,0.2059
16003,0.2147
16005,0.319
16007,0.504
16009,0.3493
16011,0.5915
16013,0.0346
16015,0.2204
16017,0.217
16019,0.5467
16021,0.2158
16023,0.4721
16025,0.234
16027,0.3379
16029,0.5676
16031,0.5259
16033,0.4893
16035,0.2129
16037,0.2574
16039,0.1993
16041,0.6067
16043,0.6347
16045,0.2859
16047,0.3477
16051,0.6501
16053,0.3547
16055,0.3319
16057,0.0516
16059,0.2868
16061,0.2664
16063,0.3101
16065,0.7358
16067,0.4199
16069,0.2105
16071,0.6327
16073,0.2742
16075,0.3071
16077,0.4593
16079,0.2169
16081,0.1045
16083,0.3626
16085,0.1509
16087,0.2942
17001,0.1275
17003,0.0122
17005,0.0237
17007,0.0392
17009,0.0557
17011,0.0214
17013,0.0105
17015,0.0922
17017,0.0149
17019,0.0028
17021,0.0268
17023,0.0732
17025,0.0644
17027,0.0558
17029,0.0398
17033,0.088
17035,0.0767
17037,0
17041,0.1417
17043,0.0092
17045,0.1129
17047,0.1461
17049,0.1334
17051,0.0659
17053,0.1559
17055,0.0002
17057,0
17059,0.0578
17061,0.0313
17063,0.0037
17065,0.0197
17067,0.108
17069,0.0226
17071,0.0404
17073,0.0663
17075,0.1176
17077,0.0088
17079,0.0884
17081,0.0329
17083,0.0251
17087,0.1034
17089,0.0029
17091,0.0088
17093,0.0058
17095,0.0049
17097,0.0022
17099,0.0016
17101,0.0522
17103,0.0396
17105,0.1815
17107,0.1286
17109,0.0283
17111,0.0128
17113,0.0311
17115,0.0278
17117,0
17119,0.0002
17121,0.0232
17123,0.0795
17125,0.0239
17127,0.078
17129,0.1198
17131,0.0348
17133,0.0497
17135,0.0392
17137,0.0807
17139,0.1007
17141,0.0735
17143,0.022
17145,0.0199
17147,0.0978
17149,0.0774
17151,0.0591
17153,0.0286
17155,0.0029
17157,0.0064
17159,0.0531
17161,0.0003
17163,0.0001
17165,0.0189
17167,0.048
17169,0.0571
17171,0.0886
17173,0.0818
17175,0.1134
17177,0.0797
17179,0.0757
17181,0.0102
17183,0.0333
17185,0.0962
17187,0.0706
17189,0.0828
17191,0.112
17193,0.0371
17195,0.0079
17197,0.0004
17199,0.0108
17201,0.0106
17203,0.1997
18001,0.1343
18003,0.0369
18005,0.0443
18007,0.0694
18009,0.0175
18011,0.0757
18013,0.0028
18015,0.0614
18017,0.0138
18019,0.0025
18021,0.0157
18023,0.0644
18025,0.0005
18027,0.0469
18029,0.0304
18031,0.0565
18033,0.0798
18035,0.0001
18037,0.0045
18039,0.0683
18041,0.0011
18043,0.0044
18045,0.0434
18047,0.0392
18049,0.0345
18051,0.0144
18053,0.0563
18055,0.0075
18057,0.0587
18059,0.0574
18061,0.0144
18063,0.0509
18065,0.0155
18067,0.0183
18069,0.0825
18071,0.0246
18073,0.0218
18075,0.0392
18077,0.0036
18079,0.0128
18081,0.0449
18083,0.0022
18085,0.1013
18087,0.1139
18089,0.0222
18091,0.0046
18093,0.0261
18095,0.0032
18097,0.002
18099,0.0445
18101,0.0117
18103,0.0507
18105,0.0449
18107,0.0716
18109,0.0503
18111,0.0123
18113,0.0733
18115,0.0175
18117,0.0233
18119,0.0032
18121,0.0172
18123,0.0049
18125,0.0072
18127,0.0065
18129,0.007
18131,0.0417
18133,0.0399
18135,0.0376
18137,0.0381
18139,0.0519
18141,0
18143,0.0031
18145,0.0351
18147,0.011
18149,0.0002
18151,0.0471
18153,0.0044
18155,0
18157,0.0046
18159,0.0603
18161,0.0384
18163,0.003
18165,0.0163
18167,0.0112
18169,0.0626
18171,0.0277
18173,0.018
18175,0.0143
18177,0.0114
18179,0.1576
18181,0.0329
18183,0.1106
19001,0.0575
19003,0.0628
19005,0.0235
19007,0.0576
19009,0.0587
19011,0.0603
19013,0.0048
19015,0.0425
19017,0.047
19019,0.0062
19021,0.0783
19023,0.0507
19025,0.0534
19027,0.0558
19029,0.1053
19031,0.0329
19033,0.0186
19035,0.0904
19037,0.0265
19039,0.0382
19041,0.0699
19043,0.0132
19045,0.0059
19047,0.031
19049,0.1989
19051,0.0579
19053,0.0807
19055,0.0393
19057,0.011
19059,0.0695
19061,0.0046
19063,0.0449
19065,0.0215
19067,0.0189
19069,0.0838
19071,0.0179
19073,0.0439
19075,0.159
19077,0.1006
19079,0.0802
19081,0.1873
19083,0.1187
19085,0.0807
19087,0.0949
19089,0.0027
19091,0.0879
19093,0.1672
19095,0.0648
19097,0.0089
19099,0.0442
19101,0.0003
19103,0.0004
19105,0.0234
19107,0.09
19109,0.1051
19111,0.002
19113,0.0151
19115,0.0652
19117,0.121
19119,0.3895
19121,0.1268
19123,0.2148
19125,0.1627
19127,0.0336
19129,0.1269
19131,0.0587
19133,0.0853
19135,0.058
19137,0.0898
19139,0.0293
19141,0.289
19143,0.2339
19145,0.1187
19147,0.0241
19149,0.1368
19151,0.1198
19153,0.0639
19155,0.0298
19157,0.0176
19159,0.0889
19161,0.1104
19163,0.03
19165,0.0733
19167,0.6082
19169,0.0899
19171,0.0124
19173,0.0949
19175,0.0399
19177,0.1409
19179,0.0163
19181,0.0941
19183,0.1072
19185,0.1441
19187,0.0176
19189,0.0716
19191,0.005
19193,0.0308
19195,0.0032
19197,0.0381
21001,0.0362
21003,0.027
21005,0.0184
21007,0.1027
21009,0.0323
21011,0.0899
21013,0
21015,0.0329
21017,0.0345
21019,0.0254
21021,0.0038
21023,0.0629
21025,0.2903
21027,0.0019
21029,0.0036
21031,0.0878
21033,0.0738
21035,0.042
21037,0.0025
21039,0.1231
21041,0.1078
21043,0.0091
21045,0.0907
21047,0.013
21049,0.0087
21051,0.0598
21053,0.1112
21055,0.0067
21057,0.1373
21059,0.0134
21061,0.0155
21063,0.2891
21065,0.0106
21067,0.0141
21069,0.0296
21071,0.2917
21073,0.0973
21075,0.0469
21077,0.038
21079,0.0302
21081,0.0005
21083,0.0926
21085,0.0215
21087,0.0236
21089,0.0246
21091,0.0198
21093,0.0066
21095,0.1811
21097,0.0565
21099,0.062
21101,0.0747
21103,0.0401
21105,0.0041
21107,0.0761
21109,0.0937
21111,0.0235
21113,0.0095
21115,0.0019
21117,0.0006
21119,0.3535
21121,0.0243
21123,0.0399
21125,0.0727
21127,0.0092
21129,0
21131,0.1436
21133,0.2024
21135,0.103
21137,0
21139,0.1003
21141,0.0355
21143,0.0359
21145,0.0107
21147,0.0522
21149,0.0424
21151,0.0105
21153,0.0616
21155,0.0845
21157,0.0496
21159,0.0225
21161,0.0246
21163,0.0375
21165,0.0643
21167,0.0156
21169,0.0109
21171,0.0737
21173,0.0292
21175,0.2778
21177,0.0704
21179,0.0318
21181,0.1345
21183,0
21185,0.0363
21187,0.0587
21189,0
21191,0.0041
21193,0.1384
21195,0.2235
21197,0.0771
21199,0.0881
21201,0.2349
21203,0.0876
21205,0.0541
21207,0.0764
21209,0.0021
21211,0.0006
21213,0.0225
21215,0.0068
21217,0.0139
21219,0.1016
21221,0.0058
21223,0.1245
21225,0.2275
21227,0.0088
21229,0.0131
21231,0.037
21233,0.2309
21235,0.0893
21237,0.1957
21239,0.013
23005,0.3087
23007,0.4445
23009,0.36
23013,1
23015,0.3087
23017,0.4445
23019,0.64
23027,#DIV/0!
23029,0.4445
23031,0.3543
24001,0.0011
24003,0
24005,0.0156
24009,0.0022
24011,0.0017
24013,0.0172
24015,0.0021
24017,0.0063
24019,0
24021,0.0013
24023,0.0384
24025,0.001
24027,0.0022
24029,0.0014
24031,0.015
24033,0.035
24035,0.0057
24037,0.0051
24039,0.0019
24041,0.0088
24043,0.005
24045,0.0003
24047,0
24510,0.0714
25001,0.0052
25009,0.0033
25011,0.0008
25013,0.0012
25019,0.0408
25021,0
25023,0.0058
25027,0.0535
26001,0.0265
26003,0.0012
26005,0.091
26007,0.018
26009,0.0276
26011,0.0087
26013,0.0096
26015,0.0539
26017,0.0011
26019,0.0002
26021,0.0463
26023,0.0639
26025,0.0169
26027,0.0545
26029,0.0221
26031,0.0196
26033,0.0127
26035,0.0155
26037,0.0351
26039,0.0149
26041,0.0167
26043,0.0504
26045,0.0085
26047,0.0146
26049,0.0051
26051,0.0201
26053,0.0012
26055,0.0064
26057,0.0176
26059,0.0758
26061,0.0124
26063,0.0489
26065,0.0057
26067,0.0358
26069,0.0048
26071,0.0154
26073,0.0007
26075,0.022
26077,0.0007
26079,0.0147
26081,0.031
26083,0.0035
26085,0.0062
26087,0.0204
26089,0.005
26091,0.0416
26093,0.0453
26095,0.0166
26097,0.0171
26099,0.0029
26101,0.0034
26103,0.0023
26105,0.0263
26107,0.0317
26109,0.0184
26111,0.0563
26113,0.0781
26115,0.0221
26117,0.0347
26119,0.0342
26121,0.0031
26123,0.0874
26125,0.0065
26127,0.0737
26129,0.0102
26131,0.0072
26133,0.0499
26135,0.0383
26137,0.0242
26139,0.1544
26141,0.0289
26143,0.0115
26145,0.0059
26147,0.0405
26149,0.0606
26151,0.048
26153,0.0124
26155,0.0037
26157,0.0257
26159,0.0168
26161,0.0151
26163,0.0057
26165,0.0205
28001,0.028
28003,0.1302
28005,0.0667
28007,0.0582
28009,0.0471
28011,0.0114
28013,0.0778
28015,0.0751
28017,0.032
28019,0.1041
28021,0.001
28023,0.0925
28025,0.026
28027,0.0001
28029,0.0246
28031,0.0622
28033,0.1622
28035,0.0749
28037,0.079
28039,0.1887
28041,0.1415
28043,0.0465
28045,0.0809
28047,0.0786
28049,0.0069
28051,0.0002
28053,0.0008
28055,0.0061
28057,0.1935
28059,0.105
28061,0.0289
28063,0.0008
28067,0.1067
28069,0.0246
28071,0.076
28073,0.1681
28075,0.1149
28077,0.0458
28079,0.0483
28081,0.1666
28083,0.022
28085,0.1163
28087,0.0779
28089,0.1068
28091,0.094
28093,0.0455
28095,0.0848
28097,0.0546
28099,0.111
28101,0.13
28103,0.0111
28105,0.0984
28107,0.0303
28109,0.1502
28111,0.0954
28113,0.0473
28115,0.1882
28117,0.1199
28119,0.0006
28121,0.1532
28123,0.0489
28125,0.0105
28127,0.0722
28129,0.0926
28131,0.1697
28133,0.0035
28135,0.0088
28137,0.1347
28139,0.1461
28141,0.1226
28143,0.0059
28145,0.1875
28147,0.0445
28149,0.0508
28151,0.0122
28153,0.0663
28155,0.138
28157,0.011
28159,0.0711
28161,0.0321
28163,0.0379
29001,0.0238
29003,0.0666
29005,0.0877
29007,0.0847
29009,0.1273
29011,0.25
29013,0.0415
29015,0.0498
29017,0.1399
29019,0.0016
29021,0.0124
29023,0.0928
29025,0.0766
29027,0.0592
29029,0.0527
29031,0.1224
29033,0.0721
29035,0.0686
29037,0.0604
29039,0.1262
29041,0.0649
29043,0.1485
29045,0.0724
29047,0.0173
29049,0.0402
29051,0.0725
29053,0.098
29055,0.0452
29057,0.1646
29059,0.0976
29061,0.0478
29063,0.0732
29065,0.0708
29067,0.073
29069,0.0424
29071,0.0453
29073,0.0791
29075,0.091
29077,0.0446
29079,0.0756
29081,0.1194
29083,0.0607
29085,0.0646
29087,0.1094
29089,0.057
29091,0.0733
29093,0.0237
29095,0
29097,0.1352
29099,0.006
29101,0.0443
29103,0.0799
29105,0.1122
29107,0.0557
29109,0.1532
29111,0.0662
29113,0.0427
29115,0.0582
29117,0.0749
29119,0.1276
29121,0.0786
29123,0.0663
29125,0.0611
29127,0.1089
29129,0.0618
29131,0.114
29133,0.0608
29135,0.1334
29137,0.1016
29139,0.077
29141,0.0675
29143,0.0419
29145,0.174
29147,0.0621
29149,0.056
29151,0.121
29153,0.0771
29155,0.0386
29157,0.126
29159,0.0529
29161,0.0463
29163,0.0575
29165,0.0251
29167,0.1685
29169,0.044
29171,0.078
29173,0.0721
29175,0.0666
29177,0.0288
29179,0.0186
29181,0.1034
29183,0.0323
29185,0.059
29186,0.0154
29187,0.0257
29195,0.0308
29197,0.0301
29199,0.0647
29201,0.0823
29203,0.0316
29205,0.095
29207,0.1016
29209,0.1099
29211,0.0754
29213,0.0941
29215,0.0743
29217,0.0603
29219,0.0535
29221,0.0361
29223,0.0701
29225,0.1343
29227,0.0743
29229,0.1302
29510,0.0653
30001,0.0013
30003,0.0347
30005,0.0686
30007,0.0013
30009,0.018
30011,0.0178
30013,0.0127
30015,0
30017,0.0051
30019,0.002
30021,0.0011
30023,0.0683
30025,0.0136
30027,0.001
30029,0.0096
30031,0.0497
30033,0.0068
30035,0.1655
30037,0.0009
30039,0.0136
30041,0.0376
30043,0.0134
30045,0.0028
30047,0.0252
30049,0.0421
30051,0.0001
30053,0.0091
30055,0
30057,0
30059,0.001
30061,0.0062
30063,0.1406
30065,0.0014
30067,0.0545
30069,0.0001
30071,0.0021
30073,0.0012
30075,0.0069
30077,0.0045
30079,0.0001
30081,0.001
30083,0.0025
30085,0.0405
30087,0.0185
30089,0.0051
30091,0.0061
30093,0.0766
30095,0.0002
30097,0.0007
30099,0.022
30101,0.0018
30103,0.0075
30105,0.0013
30107,0.0003
30109,0.0083
30111,0.0044
31001,0.043
31003,0.062
31005,0.1092
31007,0.0836
31009,0.0246
31011,0.0829
31013,0.0419
31015,0.048
31017,0.0238
31019,0.0339
31021,0.0309
31023,0.0812
31025,0.0696
31027,0.137
31029,0.039
31031,0.0723
31033,0.0441
31035,0.0463
