fips,WinMargin,,
01001,0.20,,
01003,0.32,,
01005,-0.14,,
01007,0.20,,
01009,0.43,,
01011,-0.67,,
01013,-0.09,,
01015,0.15,,
01017,-0.10,,
01019,0.33,,
01021,0.38,,
01023,-0.17,,
01025,-0.11,,
01027,0.23,,
01029,0.42,,
01031,0.24,,
01033,0.00,,
01035,-0.33,,
01037,0.07,,
01039,0.38,,
01041,0.16,,
01043,0.41,,
01045,0.24,,
01047,-0.72,,
01049,0.33,,
01051,0.26,,
01053,0.10,,
01055,0.18,,
01057,0.32,,
01059,0.15,,
01061,0.37,,
01063,-0.80,,
01065,-0.46,,
01067,0.12,,
01069,0.22,,
01071,0.33,,
01073,-0.20,,
01075,0.34,,
01077,0.17,,
01079,0.17,,
01081,-0.01,,
01083,0.22,,
01085,-0.66,,
01087,-0.72,,
01089,0.04,,
01091,-0.53,,
01093,0.40,,
01095,0.37,,
01097,-0.01,,
01099,-0.07,,
01101,-0.31,,
01103,0.24,,
01105,-0.72,,
01107,-0.23,,
01109,0.04,,
01111,0.19,,
01113,-0.29,,
01115,0.32,,
01117,0.19,,
01119,-0.77,,
01121,0.04,,
01123,0.17,,
01125,-0.01,,
01127,0.38,,
01129,-0.06,,
01131,-0.71,,
01133,0.49,,
04001,-0.39,,
04003,0.09,,
04005,-0.12,,
04007,0.11,,
04009,0.11,,
04011,-0.16,,
04012,0.35,,
04013,0.04,,
04015,0.37,,
04017,-0.06,,
04019,-0.12,,
04021,0.07,,
04023,-0.34,,
04025,0.19,,
04027,0.00,,
05001,0.10,,
05003,-0.21,,
05005,0.23,,
05007,0.12,,
05009,0.25,,
05011,0.07,,
05013,-0.21,,
05017,-0.40,,
05019,-0.20,,
05021,-0.26,,
05023,0.23,,
05025,0.06,,
05027,0.03,,
05029,-0.20,,
05031,-0.01,,
05033,0.14,,
05035,-0.29,,
05037,0.06,,
05039,-0.36,,
05041,-0.50,,
05043,-0.12,,
05045,0.04,,
05047,0.14,,
05049,-0.02,,
05051,0.07,,
05053,0.08,,
05055,0.12,,
05057,0.01,,
05059,0.01,,
05061,0.01,,
05063,0.14,,
05065,0.13,,
05067,0.00,,
05069,-0.54,,
05071,0.06,,
05073,-0.08,,
05075,-0.17,,
05077,-0.36,,
05079,-0.01,,
05081,-0.08,,
05083,0.07,,
05085,0.16,,
05087,-0.11,,
05089,0.27,,
05091,0.13,,
05093,-0.08,,
05095,-0.40,,
05097,0.18,,
05099,-0.26,,
05101,0.29,,
05103,-0.21,,
05105,-0.05,,
05107,-0.59,,
05109,0.07,,
05111,0.09,,
05113,0.31,,
05115,0.11,,
05117,-0.11,,
05119,-0.25,,
05121,0.02,,
05125,0.09,,
05127,0.20,,
05129,0.26,,
05131,0.10,,
05133,0.12,,
05135,0.17,,
05137,0.13,,
05139,-0.18,,
05141,0.10,,
05143,-0.02,,
05145,0.13,,
05147,-0.51,,
05149,0.05,,
06001,-0.38,,
06003,0.03,,
06005,0.21,,
06007,0.14,,
06009,0.21,,
06011,0.25,,
06013,-0.26,,
06015,0.13,,
06017,0.18,,
06019,0.05,,
06021,0.32,,
06023,-0.06,,
06025,-0.31,,
06027,0.19,,
06029,0.20,,
06031,0.21,,
06033,-0.02,,
06035,0.42,,
06037,-0.32,,
06039,0.18,,
06041,-0.37,,
06043,0.22,,
06045,-0.10,,
06047,-0.02,,
06049,0.46,,
06051,0.03,,
06053,-0.22,,
06055,-0.19,,
06057,0.09,,
06059,0.06,,
06061,0.14,,
06063,0.24,,
06065,0.04,,
06067,-0.14,,
06069,-0.11,,
06071,-0.01,,
06073,-0.04,,
06075,-0.48,,
06077,-0.05,,
06079,0.04,,
06081,-0.36,,
06083,-0.08,,
06085,-0.32,,
06087,-0.27,,
06089,0.30,,
06091,0.27,,
06093,0.25,,
06095,-0.18,,
06097,-0.26,,
06099,0.00,,
06101,0.24,,
06103,0.33,,
06105,0.16,,
06107,0.22,,
06109,0.19,,
06111,-0.05,,
06113,-0.24,,
06115,0.23,,
08001,-0.39,,
08003,-0.35,,
08005,-0.47,,
08007,-0.35,,
08009,-0.52,,
08011,-0.52,,
08013,-0.36,,
08014,-0.36,,
08015,-0.34,,
08017,-0.56,,
08019,-0.44,,
08021,-0.59,,
08023,-0.74,,
08025,-0.48,,
08027,-0.43,,
08029,-0.30,,
08031,-0.45,,
08033,-0.27,,
08035,-0.50,,
08037,-0.36,,
08039,-0.38,,
08041,-0.39,,
08043,-0.42,,
08045,-0.37,,
08047,-0.30,,
08049,-0.33,,
08051,-0.23,,
08053,-0.23,,
08055,-0.38,,
08057,-0.56,,
08059,-0.40,,
08061,-0.71,,
08063,-0.41,,
08065,-0.24,,
08067,-0.36,,
08069,-0.33,,
08071,-0.43,,
08073,-0.59,,
08075,-0.52,,
08077,-0.42,,
08079,-0.39,,
08081,-0.43,,
08083,-0.32,,
08085,-0.45,,
08087,-0.45,,
08089,-0.45,,
08091,-0.36,,
08093,-0.34,,
08095,-0.38,,
08097,-0.45,,
08099,-0.69,,
08101,-0.53,,
08103,-0.31,,
08105,-0.44,,
08107,-0.36,,
08109,-0.18,,
08111,-0.29,,
08113,-0.21,,
08115,-0.62,,
08117,-0.40,,
08119,-0.37,,
08121,-0.45,,
08123,-0.39,,
08125,-0.58,,
09001,-0.08,,
09003,-0.65,,
09005,0.09,,
09009,-0.52,,
09011,-0.30,,
09013,0.02,,
09015,-0.16,,
10001,0.04,,
10003,-0.23,,
10005,0.19,,
12001,-0.14,,
12003,0.28,,
12005,0.24,,
12007,0.14,,
12009,0.09,,
12011,-0.28,,
12013,0.04,,
12015,0.20,,
12017,0.22,,
12019,0.30,,
12021,0.21,,
12023,0.14,,
12027,0.11,,
12029,0.27,,
12031,-0.03,,
12033,0.06,,
12035,0.14,,
12037,-0.01,,
12039,-0.55,,
12041,0.35,,
12043,0.14,,
12045,0.15,,
12047,-0.08,,
12049,0.19,,
12051,0.03,,
12053,0.16,,
12055,0.19,,
12057,-0.07,,
12059,0.26,,
12061,0.18,,
12063,-0.03,,
12065,-0.25,,
12067,0.14,,
12069,0.14,,
12071,0.16,,
12073,-0.24,,
12075,0.24,,
12077,-0.15,,
12079,-0.19,,
12081,0.10,,
12083,0.16,,
12085,0.23,,
12086,-0.26,,
12087,0.06,,
12089,0.28,,
12091,0.29,,
12093,0.19,,
12095,-0.13,,
12097,-0.14,,
12099,-0.14,,
12101,0.12,,
12103,-0.01,,
12105,0.03,,
12107,0.13,,
12109,0.22,,
12111,0.01,,
12113,0.30,,
12115,0.08,,
12117,0.04,,
12119,0.25,,
12121,0.16,,
12123,0.05,,
12125,0.18,,
12127,0.08,,
12129,0.00,,
12131,0.33,,
12133,0.16,,
13001,0.22,,
13003,0.35,,
13005,0.43,,
13007,-0.05,,
13009,-0.12,,
13011,0.41,,
13013,0.24,,
13015,0.28,,
13017,0.09,,
13019,0.38,,
13021,-0.23,,
13023,0.22,,
13025,0.40,,
13027,0.10,,
13029,0.19,,
13031,0.11,,
13033,-0.11,,
13035,0.19,,
13037,-0.27,,
13039,0.20,,
13043,0.20,,
13045,0.19,,
13047,0.26,,
13049,0.21,,
13051,-0.16,,
13053,-0.01,,
13055,0.27,,
13057,0.23,,
13059,-0.21,,
13061,-0.17,,
13063,-0.57,,
13065,0.25,,
13067,-0.03,,
13069,0.23,,
13071,0.27,,
13073,0.13,,
13075,0.22,,
13077,0.16,,
13079,0.18,,
13081,0.15,,
13083,0.28,,
13085,0.37,,
13087,0.04,,
13089,-0.45,,
13091,0.23,,
13093,-0.08,,
13095,-0.35,,
13097,-0.08,,
13099,0.04,,
13101,0.45,,
13103,0.23,,
13105,0.15,,
13107,0.19,,
13109,0.08,,
13111,0.38,,
13113,0.02,,
13115,0.19,,
13117,0.25,,
13119,0.34,,
13121,-0.30,,
13123,0.39,,
13125,0.50,,
13127,0.16,,
13129,0.36,,
13131,0.12,,
13133,0.10,,
13135,-0.04,,
13137,0.30,,
13139,0.24,,
13141,-0.53,,
13143,0.38,,
13145,0.14,,
13147,0.22,,
13149,0.34,,
13151,-0.09,,
13153,0.03,,
13155,0.29,,
13157,0.29,,
13159,0.18,,
13161,0.24,,
13163,-0.21,,
13165,0.11,,
13167,0.17,,
13169,0.11,,
13171,0.13,,
13173,0.23,,
13175,0.08,,
13177,0.28,,
13179,-0.23,,
13181,0.09,,
13183,0.25,,
13185,0.08,,
13187,0.27,,
13189,0.00,,
13191,0.07,,
13193,-0.30,,
13195,0.27,,
13197,0.03,,
13199,-0.01,,
13201,0.36,,
13205,-0.02,,
13207,0.14,,
13209,0.24,,
13211,0.14,,
13213,0.43,,
13215,-0.24,,
13217,-0.08,,
13219,0.15,,
13221,0.18,,
13223,0.20,,
13225,-0.07,,
13227,0.38,,
13229,0.31,,
13231,0.31,,
13233,0.33,,
13235,0.17,,
13237,0.22,,
13239,-0.04,,
13241,0.30,,
13243,-0.19,,
13245,-0.31,,
13247,-0.22,,
13249,0.20,,
13251,0.01,,
13253,0.15,,
13255,0.08,,
13257,0.26,,
13259,-0.28,,
13261,-0.11,,
13263,-0.29,,
13265,-0.29,,
13267,0.18,,
13269,0.05,,
13271,0.12,,
13273,-0.08,,
13275,0.07,,
13277,0.22,,
13279,0.22,,
13281,0.30,,
13283,0.12,,
13285,0.06,,
13287,0.21,,
13289,-0.11,,
13291,0.31,,
13293,0.13,,
13295,0.27,,
13297,0.25,,
13299,0.19,,
13301,-0.15,,
13303,-0.17,,
13305,0.25,,
13307,0.04,,
13309,0.14,,
13311,0.32,,
13313,0.29,,
13315,0.21,,
13317,0.01,,
13319,-0.10,,
13321,0.29,,
15001,-0.07,,
15003,-0.11,,
15007,-0.06,,
15009,-0.07,,
16001,0.23,,
16003,0.38,,
16005,0.14,,
16007,0.24,,
16009,0.31,,
16011,0.16,,
16013,0.13,,
16015,0.40,,
16017,0.30,,
16019,0.14,,
16021,0.36,,
16023,0.23,,
16025,0.40,,
16027,0.29,,
16029,0.23,,
16031,0.23,,
16033,0.25,,
16035,0.41,,
16037,0.41,,
16039,0.40,,
16041,0.17,,
16043,0.18,,
16045,0.36,,
16047,0.33,,
16051,0.15,,
16053,0.29,,
16055,0.25,,
16057,0.11,,
16059,0.38,,
16061,0.37,,
16063,0.33,,
16065,0.07,,
16067,0.29,,
16069,0.29,,
16071,0.18,,
16073,0.40,,
16075,0.37,,
16077,0.18,,
16079,0.37,,
16081,0.11,,
16083,0.25,,
16085,0.29,,
16087,0.35,,
17001,0.22,,
17003,-0.28,,
17005,0.09,,
17007,0.13,,
17009,0.27,,
17011,0.08,,
17013,-0.07,,
17015,0.14,,
17017,0.07,,
17019,-0.05,,
17021,0.12,,
17023,0.20,,
17025,0.27,,
17027,0.21,,
17029,0.12,,
17033,0.19,,
17035,0.21,,
17037,0.04,,
17041,0.18,,
17043,-0.04,,
17045,0.25,,
17047,0.34,,
17049,0.21,,
17051,0.26,,
17053,0.24,,
17055,0.09,,
17057,-0.03,,
17059,-0.13,,
17061,0.16,,
17063,0.12,,
17065,0.14,,
17067,0.20,,
17069,0.26,,
17071,0.10,,
17073,0.07,,
17075,0.29,,
17077,-0.05,,
17079,0.17,,
17081,0.15,,
17083,0.18,,
17087,0.27,,
17089,-0.02,,
17091,0.06,,
17093,0.05,,
17095,-0.03,,
17097,-0.11,,
17099,0.06,,
17101,0.27,,
17103,0.09,,
17105,0.22,,
17107,0.19,,
17109,0.08,,
17111,0.10,,
17113,0.02,,
17115,0.03,,
17117,0.06,,
17119,0.00,,
17121,0.13,,
17123,0.12,,
17125,0.06,,
17127,0.20,,
17129,0.16,,
17131,-0.01,,
17133,0.17,,
17135,0.14,,
17137,0.18,,
17139,0.12,,
17141,0.15,,
17143,-0.08,,
17145,0.13,,
17147,0.11,,
17149,0.27,,
17151,0.31,,
17153,0.12,,
17155,-0.02,,
17157,0.09,,
17159,0.26,,
17161,-0.15,,
17163,-0.14,,
17165,0.17,,
17167,0.05,,
17169,0.15,,
17171,0.26,,
17173,0.18,,
17175,0.13,,
17177,0.08,,
17179,0.07,,
17181,0.08,,
17183,0.12,,
17185,0.21,,
17187,0.07,,
17189,0.23,,
17191,0.39,,
17193,0.23,,
17195,-0.03,,
17197,-0.02,,
17199,0.11,,
17201,-0.02,,
17203,0.11,,
18001,0.17,,
18003,0.15,,
18005,0.24,,
18007,0.40,,
18009,0.18,,
18011,0.25,,
18013,0.24,,
18015,0.34,,
18017,0.30,,
18019,0.15,,
18021,0.35,,
18023,0.31,,
18025,0.15,,
18027,0.45,,
18029,0.41,,
18031,0.38,,
18033,0.28,,
18035,0.09,,
18037,0.19,,
18039,0.22,,
18041,0.29,,
18043,0.13,,
18045,0.45,,
18047,0.43,,
18049,0.35,,
18051,0.28,,
18053,0.22,,
18055,0.37,,
18057,0.23,,
18059,0.36,,
18061,0.23,,
18063,0.28,,
18065,0.29,,
18067,0.22,,
18069,0.31,,
18071,0.34,,
18073,0.34,,
18075,0.28,,
18077,0.18,,
18079,0.37,,
18081,0.33,,
18083,0.30,,
18085,0.35,,
18087,0.32,,
18089,-0.12,,
18091,0.12,,
18093,0.40,,
18095,0.16,,
18097,-0.05,,
18099,0.30,,
18101,0.32,,
18103,0.33,,
18105,-0.02,,
18107,0.38,,
18109,0.41,,
18111,0.37,,
18113,0.30,,
18115,0.34,,
18117,0.37,,
18119,0.36,,
18121,0.40,,
18123,0.06,,
18125,0.30,,
18127,0.14,,
18129,0.27,,
18131,0.35,,
18133,0.33,,
18135,0.33,,
18137,0.42,,
18139,0.39,,
18141,0.05,,
18143,0.06,,
18145,0.34,,
18147,0.21,,
18149,0.23,,
18151,0.33,,
18153,0.22,,
18155,0.20,,
18157,0.11,,
18159,0.35,,
18161,0.36,,
18163,0.16,,
18165,0.14,,
18167,0.09,,
18169,0.32,,
18171,0.42,,
18173,0.25,,
18175,0.32,,
18177,0.28,,
18179,0.24,,
18181,0.34,,
18183,0.29,,
19001,-0.09,,
19003,-0.10,,
19005,-0.09,,
19007,0.01,,
19009,-0.13,,
19011,-0.09,,
19013,-0.15,,
19015,-0.06,,
19017,-0.11,,
19019,-0.17,,
19021,-0.02,,
19023,-0.02,,
19025,-0.07,,
19027,-0.11,,
19029,-0.03,,
19031,-0.04,,
19033,-0.11,,
19035,0.05,,
19037,-0.16,,
19039,-0.03,,
19041,0.00,,
19043,-0.09,,
19045,-0.10,,
19047,-0.01,,
19049,-0.02,,
19051,0.04,,
19053,-0.03,,
19055,-0.14,,
19057,-0.07,,
19059,0.00,,
19061,-0.16,,
19063,-0.07,,
19065,-0.14,,
19067,-0.16,,
19069,-0.07,,
19071,0.09,,
19073,-0.05,,
19075,0.01,,
19077,-0.01,,
19079,-0.05,,
19081,-0.06,,
19083,-0.05,,
19085,0.06,,
19087,-0.04,,
19089,-0.09,,
19091,0.04,,
19093,0.04,,
19095,-0.06,,
19097,-0.08,,
19099,-0.08,,
19101,-0.01,,
19103,-0.14,,
19105,-0.08,,
19107,-0.03,,
19109,-0.09,,
19111,-0.17,,
19113,-0.14,,
19115,0.03,,
19117,-0.02,,
19119,0.07,,
19121,0.03,,
19123,0.01,,
19125,-0.03,,
19127,-0.06,,
19129,0.03,,
19131,-0.16,,
19133,-0.03,,
19135,0.05,,
19137,0.01,,
19139,-0.03,,
19141,0.07,,
19143,0.05,,
19145,0.03,,
19147,-0.12,,
19149,0.09,,
19151,-0.11,,
19153,-0.10,,
19155,0.00,,
19157,-0.09,,
19159,-0.05,,
19161,0.05,,
19163,-0.09,,
19165,0.03,,
19167,0.06,,
19169,-0.06,,
19171,-0.07,,
19173,0.00,,
19175,-0.03,,
19177,0.08,,
19179,-0.07,,
19181,-0.04,,
19183,-0.06,,
19185,-0.03,,
19187,-0.14,,
19189,-0.05,,
19191,-0.10,,
19193,-0.01,,
19195,-0.09,,
19197,-0.14,,
21001,0.30,,
21003,0.09,,
21005,-0.13,,
21007,-0.23,,
21009,-0.16,,
21011,-0.33,,
21013,0.05,,
21015,-0.07,,
21017,-0.29,,
21019,-0.24,,
21021,-0.23,,
21023,-0.19,,
21025,-0.36,,
21027,-0.13,,
21029,-0.11,,
21031,0.19,,
21033,-0.18,,
21035,-0.19,,
21037,-0.22,,
21039,-0.19,,
21041,-0.30,,
21043,-0.09,,
21045,0.36,,
21047,-0.29,,
21049,-0.17,,
21051,0.38,,
21053,0.37,,
21055,0.05,,
21057,0.34,,
21059,-0.26,,
21061,0.17,,
21063,-0.36,,
21065,-0.09,,
21067,-0.32,,
21069,-0.14,,
21071,-0.30,,
21073,-0.37,,
21075,-0.35,,
21077,-0.16,,
21079,0.07,,
21081,-0.04,,
21083,-0.22,,
21085,0.01,,
21087,0.19,,
21089,-0.21,,
21091,-0.23,,
21093,-0.20,,
21095,-0.13,,
21097,-0.24,,
21099,-0.18,,
21101,-0.36,,
21103,-0.19,,
21105,-0.14,,
21107,-0.19,,
21109,0.38,,
21111,-0.38,,
21113,-0.10,,
21115,0.20,,
21117,-0.18,,
21119,-0.31,,
21121,0.23,,
21123,-0.15,,
21125,0.23,,
21127,0.02,,
21129,0.08,,
21131,0.38,,
21133,-0.13,,
21135,0.20,,
21137,-0.11,,
21139,-0.21,,
21141,-0.26,,
21143,-0.23,,
21145,-0.22,,
21147,0.33,,
21149,-0.19,,
21151,-0.14,,
21153,-0.13,,
21155,-0.39,,
21157,-0.20,,
21159,0.38,,
21161,-0.23,,
21163,-0.17,,
21165,-0.26,,
21167,-0.14,,
21169,-0.11,,
21171,0.43,,
21173,-0.23,,
21175,-0.28,,
21177,-0.30,,
21179,-0.27,,
21181,-0.32,,
21183,-0.03,,
21185,-0.09,,
21187,-0.16,,
21189,0.21,,
21191,-0.07,,
21193,-0.12,,
21195,-0.17,,
21197,-0.20,,
21199,0.18,,
21201,-0.18,,
21203,0.24,,
21205,-0.25,,
21207,0.26,,
21209,-0.20,,
21211,-0.16,,
21213,-0.25,,
21215,-0.03,,
21217,-0.01,,
21219,-0.20,,
21221,-0.10,,
21223,-0.29,,
21225,-0.29,,
21227,-0.21,,
21229,-0.23,,
21231,0.12,,
21233,-0.30,,
21235,0.25,,
21237,-0.37,,
21239,-0.23,,
23005,-0.44,,
23007,-0.33,,
23009,-0.40,,
23013,0.00,,
23015,-0.44,,
23017,-0.33,,
23019,-0.20,,
23029,-0.33,,
23031,-0.40,,
24001,0.28,,
24003,-0.04,,
24005,-0.20,,
24009,0.06,,
24011,0.25,,
24013,0.24,,
24015,0.22,,
24017,-0.28,,
24019,0.15,,
24021,0.03,,
24023,0.37,,
24025,0.14,,
24027,-0.26,,
24029,-0.01,,
24031,-0.45,,
24033,-0.66,,
24035,0.24,,
24037,0.10,,
24039,0.14,,
24041,0.06,,
24043,0.21,,
24045,0.09,,
24047,0.22,,
24510,-0.60,,
25001,0.00,,
25009,-0.05,,
25011,-0.08,,
25013,0.08,,
25019,-0.17,,
25021,-0.01,,
25023,0.00,,
25027,-0.24,,
26001,0.22,,
26003,0.06,,
26005,0.06,,
26007,0.12,,
26009,0.16,,
26011,0.16,,
26013,0.12,,
26015,0.12,,
26017,-0.01,,
26019,0.08,,
26021,0.03,,
26023,0.18,,
26025,0.02,,
26027,0.12,,
26029,0.11,,
26031,0.16,,
26033,0.10,,
26035,0.14,,
26037,0.02,,
26039,0.19,,
26041,0.07,,
26043,0.13,,
26045,-0.01,,
26047,0.09,,
26049,-0.15,,
26051,0.14,,
26053,0.02,,
26055,0.06,,
26057,0.08,,
26059,0.22,,
26061,0.04,,
26063,0.18,,
26065,-0.15,,
26067,0.10,,
26069,0.15,,
26071,0.12,,
26073,0.01,,
26075,0.09,,
26077,-0.06,,
26079,0.23,,
26081,-0.02,,
26083,0.08,,
26085,0.10,,
26087,0.18,,
26089,0.02,,
26091,0.08,,
26093,0.16,,
26095,0.18,,
26097,0.12,,
26099,0.06,,
26101,0.07,,
26103,-0.04,,
26105,0.07,,
26107,0.11,,
26109,0.11,,
26111,0.04,,
26113,0.21,,
26115,0.06,,
26117,0.11,,
26119,0.24,,
26121,-0.07,,
26123,0.12,,
26125,-0.06,,
26127,0.09,,
26129,0.16,,
26131,0.11,,
26133,0.20,,
26135,0.22,,
26137,0.19,,
26139,0.05,,
26141,0.10,,
26143,0.17,,
26145,-0.07,,
26147,0.26,,
26149,0.10,,
26151,0.22,,
26153,0.13,,
26155,0.05,,
26157,0.14,,
26159,0.05,,
26161,-0.19,,
26163,-0.27,,
26165,0.20,,
28001,-0.25,,
28003,0.31,,
28005,-0.01,,
28007,-0.04,,
28009,0.00,,
28011,-0.27,,
28013,0.18,,
28015,0.10,,
28017,-0.09,,
28019,0.11,,
28021,-0.72,,
28023,0.09,,
28025,-0.27,,
28027,-0.45,,
28029,-0.18,,
28031,0.08,,
28033,0.15,,
28035,0.04,,
28037,0.03,,
28039,0.38,,
28041,0.28,,
28043,0.02,,
28045,0.38,,
28047,0.17,,
28049,-0.45,,
28051,-0.68,,
28053,-0.67,,
28055,-0.16,,
28057,0.33,,
28059,0.20,,
28061,-0.16,,
28063,-0.73,,
28067,0.25,,
28069,-0.26,,
28071,0.01,,
28073,0.28,,
28075,0.10,,
28077,0.03,,
28079,-0.04,,
28081,0.14,,
28083,-0.34,,
28085,0.14,,
28087,-0.05,,
28089,0.00,,
28091,0.14,,
28093,-0.22,,
28095,0.10,,
28097,-0.10,,
28099,0.24,,
28101,0.16,,
28103,-0.55,,
28105,-0.11,,
28107,-0.10,,
28109,0.35,,
28111,0.15,,
28113,-0.09,,
28115,0.25,,
28117,0.22,,
28119,-0.51,,
28121,0.26,,
28123,-0.03,,
28125,-0.37,,
28127,0.09,,
28129,0.27,,
28131,0.23,,
28133,-0.35,,
28135,-0.21,,
28137,0.06,,
28139,0.30,,
28141,0.37,,
28143,-0.54,,
28145,0.28,,
28147,0.01,,
28149,-0.05,,
28151,-0.28,,
28153,0.06,,
28155,0.29,,
28157,-0.46,,
28159,-0.07,,
28161,-0.06,,
28163,-0.14,,
29001,0.11,,
29003,0.21,,
29005,0.25,,
29007,0.16,,
29009,0.25,,
29011,0.24,,
29013,0.20,,
29015,0.31,,
29017,0.34,,
29019,-0.03,,
29021,0.07,,
29023,0.32,,
29025,0.23,,
29027,0.17,,
29029,0.32,,
29031,0.21,,
29033,0.32,,
29035,0.34,,
29037,0.12,,
29039,0.27,,
29041,0.14,,
29043,0.19,,
29045,0.23,,
29047,0.03,,
29049,0.17,,
29051,0.13,,
29053,0.18,,
29055,0.32,,
29057,0.25,,
29059,0.28,,
29061,0.23,,
29063,0.25,,
29065,0.34,,
29067,0.38,,
29069,0.25,,
29071,0.19,,
29073,0.26,,
29075,0.19,,
29077,0.07,,
29079,0.32,,
29081,0.32,,
29083,0.17,,
29085,0.34,,
29087,0.30,,
29089,0.11,,
29091,0.33,,
29093,0.19,,
29095,-0.14,,
29097,0.17,,
29099,0.15,,
29101,0.15,,
29103,0.23,,
29105,0.30,,
29107,0.16,,
29109,0.23,,
29111,0.28,,
29113,0.21,,
29115,0.18,,
29117,0.24,,
29119,0.29,,
29121,0.26,,
29123,0.22,,
29125,0.27,,
29127,0.17,,
29129,0.45,,
29131,0.35,,
29133,0.19,,
29135,0.22,,
29137,0.22,,
29139,0.29,,
29141,0.30,,
29143,0.20,,
29145,0.21,,
29147,0.14,,
29149,0.26,,
29151,0.29,,
29153,0.34,,
29155,0.20,,
29157,0.25,,
29159,0.21,,
29161,0.22,,
29163,0.15,,
29165,0.03,,
29167,0.19,,
29169,0.27,,
29171,0.38,,
29173,0.20,,
29175,0.23,,
29177,0.12,,
29179,0.27,,
29181,0.31,,
29183,0.11,,
29185,0.24,,
29186,0.06,,
29187,0.17,,
29195,0.11,,
29197,0.32,,
29199,0.28,,
29201,0.27,,
29203,0.24,,
29205,0.19,,
29207,0.34,,
29209,0.32,,
29211,0.27,,
29213,0.30,,
29215,0.33,,
29217,0.26,,
29219,0.22,,
29221,0.20,,
29223,0.31,,
29225,0.21,,
29227,0.28,,
29229,0.31,,
29510,-0.39,,
30001,0.53,,
30003,0.24,,
30005,0.15,,
30007,0.50,,
30009,0.29,,
30011,0.67,,
30013,0.18,,
30015,0.39,,
30017,0.37,,
30019,0.53,,
30021,0.59,,
30023,-0.10,,
30025,0.76,,
30027,0.49,,
30029,0.39,,
30031,0.09,,
30033,0.80,,
30035,-0.20,,
30037,0.59,,
30039,0.37,,
30041,0.14,,
30043,0.26,,
30045,0.53,,
30047,0.25,,
30049,0.04,,
30051,0.50,,
30053,0.48,,
30055,0.59,,
30057,0.45,,
30059,0.58,,
30061,0.41,,
30063,-0.02,,
30065,0.67,,
30067,0.21,,
30069,0.70,,
30071,0.72,,
30073,0.42,,
30075,0.74,,
30077,0.43,,
30079,0.54,,
30081,0.37,,
30083,0.59,,
30085,0.26,,
30087,0.42,,
30089,0.48,,
30091,0.36,,
30093,-0.13,,
30095,0.53,,
30097,0.54,,
30099,0.27,,
30101,0.58,,
30103,0.45,,
30105,0.41,,
30107,0.61,,
30109,0.59,,
30111,0.27,,
31001,0.59,,
31003,0.66,,
31005,0.60,,
31007,0.63,,
31009,0.71,,
31011,0.63,,
31013,0.66,,
31015,0.68,,
31017,0.81,,
31019,0.59,,
31021,0.61,,
31023,0.64,,
31025,0.55,,
31027,0.57,,
